2026-05-20 11:51:17,612 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: connecting to localhost:9094 [('::1', 9094, 0, 0) IPv6]
2026-05-20 11:51:17,612 [INFO] Probing node bootstrap-0 broker version
2026-05-20 11:51:17,612 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: Connection complete.
2026-05-20 11:51:17,714 [INFO] Broker version identified as 2.6.0
2026-05-20 11:51:17,714 [INFO] Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-05-20 11:51:17,722 [INFO] 🚀 Iniciando generador | eps=30 | sesiones=10 | anomaly_ratio=0.08 | topic=ecommerce-events
2026-05-20 11:51:17,723 [INFO] Presiona Ctrl+C para detener.

2026-05-20 11:51:17,728 [INFO] <BrokerConnection node_id=1 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: connecting to localhost:9094 [('::1', 9094, 0, 0) IPv6]
2026-05-20 11:51:17,729 [INFO] <BrokerConnection node_id=1 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: Connection complete.
2026-05-20 11:51:17,729 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connected> [IPv6 ('::1', 9094, 0, 0)]>: Closing connection. 
2026-05-20 12:19:41,883 [INFO] Enviados: 51000 eventos | Anomalías: 3740 (7.3%)
2026-05-20 12:20:15,300 [INFO] Enviados: 52000 eventos | Anomalías: 3842 (7.4%)
2026-05-20 12:20:48,717 [INFO] Enviados: 53000 eventos | Anomalías: 3992 (7.5%)
2026-05-20 12:21:22,134 [INFO] Enviados: 54000 eventos | Anomalías: 4031 (7.5%)
2026-05-20 12:21:55,551 [INFO] Enviados: 55000 eventos | Anomalías: 4128 (7.5%)
2026-05-20 12:22:28,968 [INFO] Enviados: 56000 eventos | Anomalías: 4245 (7.6%)
2026-05-20 12:23:02,391 [INFO] Enviados: 57000 eventos | Anomalías: 4294 (7.5%)
2026-05-20 12:23:35,815 [INFO] Enviados: 58000 eventos | Anomalías: 4353 (7.5%)
2026-05-20 12:24:09,239 [INFO] Enviados: 59000 eventos | Anomalías: 4504 (7.6%)
2026-05-20 12:24:42,656 [INFO] Enviados: 60000 eventos | Anomalías: 4596 (7.7%)
2026-05-20 12:25:16,073 [INFO] Enviados: 61000 eventos | Anomalías: 4684 (7.7%)
2026-05-20 12:25:49,489 [INFO] Enviados: 62000 eventos | Anomalías: 4778 (7.7%)
2026-05-20 12:26:22,903 [INFO] Enviados: 63000 eventos | Anomalías: 4876 (7.7%)
2026-05-20 12:26:56,316 [INFO] Enviados: 64000 eventos | Anomalías: 4934 (7.7%)
